reply_to_status_id,sentiment_score,parent_sentiment,agreement_score
x1072566978114662402,0.4215,-0.2732,0.1483
x1072576826571177984,0.0,0.7579,0.7579
x1072585562631168001,0.09128333333333333,0.1027,0.19398333333333334
x1072591869144694785,0.0,0.0,0.0
x1072618277711400960,-0.5574,-0.483,-1.0404
x1072643217114497025,0.25,0.4926,0.7425999999999999
x1072643281849335809,-0.5972,0.25,-0.34719999999999995
x1072643329949663232,-0.128,-0.5972,-0.7252
x1072643361075544066,-0.0772,-0.128,-0.2052
x1072643394667712513,-0.5106,-0.0772,-0.5878000000000001
x1072644702900498432,0.1779,0.0,0.1779
x1072664863460200449,-0.2966,0.6249,0.32830000000000004
x1072684970769072129,-0.4549,-0.1531,-0.6080000000000001
x1072698808335626240,0.5468,-0.34,0.20679999999999993
x1072715167744569344,0.4588,0.0,0.4588
x1072722719442116608,0.0,-0.0258,-0.0258
x1072732823340179457,0.4404,0.0,0.4404
x1072742849962237952,0.8225,0.4019,1.2244
x1072744106835742720,-0.40045000000000003,-0.8316,-1.23205
x1072747907839868929,0.0,0.0,0.0
x1072755465644322817,0.5859,0.3875,0.9734
x1072759206242074624,0.08895,-0.34,-0.25105
x1072778163523063808,0.0258,0.0,0.0258
x1072800778899939328,0.0,-0.3612,-0.3612
x1072804505010372608,0.4019,-0.8316,-0.4297
x1072820863584616449,-0.8176,0.0,-0.8176
x1072823544990613505,0.455225,0.3182,0.773425
x1072833450275733504,-0.1555,0.7351,0.5796
x1072842078659346434,-0.08114000000000002,0.0,-0.08114000000000002
x1072846190914490368,0.3179,-0.7184,-0.4005
x1072854837023387651,0.09081666666666666,0.0,0.09081666666666666
x1072856098619777025,-0.3071,0.2846,-0.022499999999999964
x1072864902971240449,-0.33482500000000004,-0.8316,-1.166425
x1072881267270696965,-0.4874,-0.0772,-0.5646
x1072887803996966912,-0.29600000000000004,0.2732,-0.022800000000000042
x1072903658629668864,-0.08895,0.0,-0.08895
x1072903940428218372,0.128,0.34,0.468
x1072921681314893829,-0.03883333333333331,-0.765,-0.8038333333333333
x1072929078511132672,0.77185,0.1779,0.9497500000000001
x1072936667206569984,-0.21075,0.3818,0.17104999999999998
x1072941661611847681,-0.0129,0.0,-0.0129
x1072944317818421249,0.4588,0.0,0.4588
x1072956761647316994,0.0,0.1779,0.1779
x1072961810771390464,-0.128,-0.3612,-0.4892
x1072964055873183744,0.3933999999999999,0.0,0.3933999999999999
x1072971859522740230,-0.2551,-0.5859,-0.841
x1073007090380226560,0.7269,0.3182,1.0451
x1073008138566029313,0.0,0.4926,0.4926
x1073008194497110016,-0.5859,0.0,-0.5859
x1073008240802258944,0.3818,-0.5859,-0.2041
x1073008282128662528,0.0,0.3818,0.3818
x1073008328714801152,-0.4019,0.0,-0.4019
x1073008851249717248,0.4939,0.2732,0.7671
x1073009610632691718,-0.30693333333333334,-0.5423,-0.8492333333333333
x1073032257483534337,-0.26335,-0.4404,-0.70375
x1073053071822020610,0.0,0.25,0.25
x1073068746112229379,-0.08553749999999999,0.0,-0.08553749999999999
x1073072573888503808,0.0,0.34,0.34
x1073075052189507584,0.0,-0.4404,-0.4404
x1073077555329204225,-0.5423,-0.5423,-1.0846
x1073097688579801089,-0.6124,0.0,-0.6124
x1073112787914756096,-0.4717,-0.4215,-0.8932
x1073122857373327361,-0.5849,0.0,-0.5849
x1073136693664989184,0.2906,0.0,0.2906
x1073140615519657984,0.0,0.0,0.0
x1073142988270960640,0.4767,0.0,0.4767
x1073148073755508737,-0.2755,0.3182,0.04269999999999996
x1073150538525614081,-0.7339,-0.4939,-1.2278
x1073155664959209472,-0.5341,-0.5994,-1.1335000000000002
x1073160613139005440,0.20095,-0.8316,-0.63065
x1073179235819241472,-0.5550166666666667,-0.5574,-1.1124166666666668
x1073185913637875713,0.0,-0.3612,-0.3612
x1073195835826032640,0.0,-0.8909999999999999,-0.8909999999999999
x1073201044266672128,0.4926,0.2023,0.6949
x1073213465182040069,0.09879999999999997,0.5719,0.6707
x1073214645047947265,-0.055324999999999985,0.0,-0.055324999999999985
x1073231167770505218,0.5768,-0.7717,-0.19490000000000007
x1073233605021892609,-0.31800000000000006,-0.7506,-1.0686
x1073236117284143105,0.4019,0.0,0.4019
x1073248699378225153,-0.0112,-0.8316,-0.8428
x1073256279227973632,-0.4939,-0.4929,-0.9868
x1073258758590160896,0.5499,0.8268,1.3767
x1073263790899298310,-0.6613,-0.4939,-1.1552
x1073266299365744641,-0.802,-0.8225,-1.6245
x1073271332828266498,-0.5106,-0.4019,-0.9125000000000001
x1073278891429650432,0.7269,0.1154,0.8423
x1073301278397059072,-0.38585,-0.5574,-0.94325
x1073304050551140353,0.1998,-0.9359999999999999,-0.7362
x1073306713082785792,0.16885,-0.3818,-0.21294999999999997
x1073336863040114690,0.0,-0.4019,-0.4019
